"URL","Uniprot ID","Name","Source","Link"
https://pharos.nih.gov/idg/targets/P16389,P16389,"Neuronal System","Reactome Pathway",http://www.reactome.org/content/detail/R-HSA-112316
https://pharos.nih.gov/idg/targets/P16389,P16389,"Potassium Channels","Reactome Pathway",http://www.reactome.org/content/detail/R-HSA-1296071
https://pharos.nih.gov/idg/targets/P16389,P16389,"Voltage gated Potassium channels","Reactome Pathway",http://www.reactome.org/content/detail/R-HSA-1296072
https://pharos.nih.gov/idg/targets/Q96PR1,Q96PR1,Metabolism,"Reactome Pathway",http://www.reactome.org/content/detail/R-HSA-1430728
https://pharos.nih.gov/idg/targets/Q96PR1,Q96PR1,"Neuronal System","Reactome Pathway",http://www.reactome.org/content/detail/R-HSA-112316
https://pharos.nih.gov/idg/targets/Q96PR1,Q96PR1,"Potassium Channels","Reactome Pathway",http://www.reactome.org/content/detail/R-HSA-1296071
https://pharos.nih.gov/idg/targets/Q96PR1,Q96PR1,"Glucagon-like Peptide-1 (GLP1) regulates insulin secretion","Reactome Pathway",http://www.reactome.org/content/detail/R-HSA-381676
https://pharos.nih.gov/idg/targets/Q96PR1,Q96PR1,"Integration of energy metabolism","Reactome Pathway",http://www.reactome.org/content/detail/R-HSA-163685
https://pharos.nih.gov/idg/targets/Q96PR1,Q96PR1,"Regulation of insulin secretion","Reactome Pathway",http://www.reactome.org/content/detail/R-HSA-422356
https://pharos.nih.gov/idg/targets/Q96PR1,Q96PR1,"Voltage gated Potassium channels","Reactome Pathway",http://www.reactome.org/content/detail/R-HSA-1296072
https://pharos.nih.gov/idg/targets/Q9ULD8,Q9ULD8,"Neuronal System","Reactome Pathway",http://www.reactome.org/content/detail/R-HSA-112316
https://pharos.nih.gov/idg/targets/Q9ULD8,Q9ULD8,"Potassium Channels","Reactome Pathway",http://www.reactome.org/content/detail/R-HSA-1296071
https://pharos.nih.gov/idg/targets/Q9ULD8,Q9ULD8,"Voltage gated Potassium channels","Reactome Pathway",http://www.reactome.org/content/detail/R-HSA-1296072
https://pharos.nih.gov/idg/targets/Q9UK17,Q9UK17,http://identifiers.org/smpdb/SMP00296,"PathwayCommons: smpdb Pathway",null
https://pharos.nih.gov/idg/targets/Q9UK17,Q9UK17,http://identifiers.org/smpdb/SMP00297,"PathwayCommons: smpdb Pathway",null
https://pharos.nih.gov/idg/targets/Q9UK17,Q9UK17,http://identifiers.org/smpdb/SMP00298,"PathwayCommons: smpdb Pathway",null
https://pharos.nih.gov/idg/targets/Q9UK17,Q9UK17,http://identifiers.org/smpdb/SMP00299,"PathwayCommons: smpdb Pathway",null
https://pharos.nih.gov/idg/targets/Q9UK17,Q9UK17,http://identifiers.org/smpdb/SMP00300,"PathwayCommons: smpdb Pathway",null
https://pharos.nih.gov/idg/targets/Q9UK17,Q9UK17,http://identifiers.org/smpdb/SMP00301,"PathwayCommons: smpdb Pathway",null
https://pharos.nih.gov/idg/targets/Q9UK17,Q9UK17,http://identifiers.org/smpdb/SMP00302,"PathwayCommons: smpdb Pathway",null
https://pharos.nih.gov/idg/targets/Q9UK17,Q9UK17,http://identifiers.org/smpdb/SMP00303,"PathwayCommons: smpdb Pathway",null
https://pharos.nih.gov/idg/targets/Q9UK17,Q9UK17,http://identifiers.org/smpdb/SMP00304,"PathwayCommons: smpdb Pathway",null
https://pharos.nih.gov/idg/targets/Q9UK17,Q9UK17,http://identifiers.org/smpdb/SMP00305,"PathwayCommons: smpdb Pathway",null
https://pharos.nih.gov/idg/targets/Q9UK17,Q9UK17,http://identifiers.org/smpdb/SMP00306,"PathwayCommons: smpdb Pathway",null
https://pharos.nih.gov/idg/targets/Q9UK17,Q9UK17,http://identifiers.org/smpdb/SMP00307,"PathwayCommons: smpdb Pathway",null
https://pharos.nih.gov/idg/targets/Q9UK17,Q9UK17,http://identifiers.org/smpdb/SMP00323,"PathwayCommons: smpdb Pathway",null
https://pharos.nih.gov/idg/targets/Q9UK17,Q9UK17,http://identifiers.org/smpdb/SMP00324,"PathwayCommons: smpdb Pathway",null
https://pharos.nih.gov/idg/targets/Q9UK17,Q9UK17,http://identifiers.org/smpdb/SMP00325,"PathwayCommons: smpdb Pathway",null
https://pharos.nih.gov/idg/targets/Q9UK17,Q9UK17,http://identifiers.org/smpdb/SMP00326,"PathwayCommons: smpdb Pathway",null
https://pharos.nih.gov/idg/targets/Q9UK17,Q9UK17,http://identifiers.org/smpdb/SMP00327,"PathwayCommons: smpdb Pathway",null
https://pharos.nih.gov/idg/targets/Q9UK17,Q9UK17,http://identifiers.org/smpdb/SMP00328,"PathwayCommons: smpdb Pathway",null
https://pharos.nih.gov/idg/targets/Q9UK17,Q9UK17,http://identifiers.org/smpdb/SMP00329,"PathwayCommons: smpdb Pathway",null
https://pharos.nih.gov/idg/targets/Q9UK17,Q9UK17,http://identifiers.org/smpdb/SMP00330,"PathwayCommons: smpdb Pathway",null
https://pharos.nih.gov/idg/targets/Q9UK17,Q9UK17,http://identifiers.org/smpdb/SMP00331,"PathwayCommons: smpdb Pathway",null
https://pharos.nih.gov/idg/targets/Q9UK17,Q9UK17,http://identifiers.org/smpdb/SMP00332,"PathwayCommons: smpdb Pathway",null
https://pharos.nih.gov/idg/targets/Q9UK17,Q9UK17,http://identifiers.org/smpdb/SMP00359,"PathwayCommons: smpdb Pathway",null
https://pharos.nih.gov/idg/targets/Q9UK17,Q9UK17,http://identifiers.org/smpdb/SMP00366,"PathwayCommons: smpdb Pathway",null
